sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_averageprice, dateyear, propertycategorisation, for_sale_both_auction_private_treaty_averageprice, datemonth, sa42016code, sa42016name, for_sale_both_auction_private_treaty_medianprice
735000.0,824995.8,2020,"House",785427.1,12,801,"Australian Capital Territory",695000.0
550000.0,595198.6,2020,"House",618476.3,12,101,"Capital Region",575000.0
680000.0,792027.4,2020,"House",723914.8,12,102,"Central Coast",640000.0
429000.0,460790.3,2020,"House",455100.7,12,103,"Central West",425000.0
516000.0,562759.6,2020,"House",576205.8,12,104,"Coffs Harbour - Grafton",525000.0
315000.0,325320.3,2020,"House",284138.4,12,105,"Far West And Orana",250000.0
485000.0,536170.1,2020,"House",518190.8,12,106,"Hunter Valley Exc Newcastle",489000.0
725000.0,820540.2,2020,"House",765683.6,12,107,"Illawarra",689000.0
498000.0,543885.8,2020,"House",548337.3,12,108,"Mid North Coast",507000.0
355000.0,406680.8,2020,"House",395820.3,12,109,"Murray",360000.0
340000.0,372036.5,2020,"House",366142.2,12,110,"New England And North West",330000.0
640000.0,732624.2,2020,"House",692573.6,12,111,"Newcastle And Lake Macquarie",600000.0
644875.0,775640.6,2020,"House",789347.5,12,112,"Richmond - Tweed",600000.0
371000.0,409330.6,2020,"House",398249.6,12,113,"Riverina",360000.0
675000.0,848558.7,2020,"House",831609.9,12,114,"Southern Highlands And Shoalhaven",670000.0
1215000.0,1284085.0,2020,"House",1177565.0,12,115,"Sydney - Baulkham Hills And Hawkesbury",980000.0
765000.0,794364.0,2020,"House",783936.1,12,116,"Sydney - Blacktown",750000.0
1538500.0,1747718.0,2020,"House",1816108.0,12,117,"Sydney - City And Inner South",1500000.0
2775000.0,3590229.0,2020,"House",4199366.0,12,118,"Sydney - Eastern Suburbs",2700000.0
1070000.0,1186606.0,2020,"House",1154684.0,12,119,"Sydney - Inner South West",995000.0
1800000.0,1997027.0,2020,"House",1985565.0,12,120,"Sydney - Inner West",1700000.0
2200000.0,2622570.0,2020,"House",2596205.0,12,121,"Sydney - North Sydney And Hornsby",1950000.0
1945000.0,2366666.0,2020,"House",2502099.0,12,122,"Sydney - Northern Beaches",1875000.0
670500.0,722863.3,2020,"House",739394.5,12,123,"Sydney - Outer South West",678300.0
685000.0,732659.8,2020,"House",739811.8,12,124,"Sydney - Outer West And Blue Mountains",675000.0
930000.0,1023462.0,2020,"House",1009442.0,12,125,"Sydney - Parramatta",869000.0
1700000.0,1951210.0,2020,"House",1880184.0,12,126,"Sydney - Ryde",1550000.0
760000.0,813801.1,2020,"House",824112.6,12,127,"Sydney - South West",721896.0
1212000.0,1398816.0,2020,"House",1341371.0,12,128,"Sydney - Sutherland",1150000.0
470000.0,514978.8,2020,"House",572943.5,12,701,"Darwin",525000.0
420000.0,440236.3,2020,"House",459740.2,12,702,"Northern Territory - Outback",419000.0
600000.0,691505.6,2020,"House",624887.0,12,301,"Brisbane - East",566500.0
626500.0,675089.6,2020,"House",645476.2,12,302,"Brisbane - North",600000.0
729000.0,801443.4,2020,"House",738594.8,12,303,"Brisbane - South",670000.0
760000.0,900457.7,2020,"House",892279.4,12,304,"Brisbane - West",745500.0
1025000.0,1238460.0,2020,"House",1263891.0,12,305,"Brisbane Inner City",1000000.0
412500.0,455325.4,2020,"House",487569.8,12,306,"Cairns",400000.0
333300.0,366625.3,2020,"House",368210.3,12,308,"Central Queensland",325000.0
280000.0,316172.9,2020,"House",304700.1,12,307,"Darling Downs - Maranoa",269000.0
685000.0,857060.6,2020,"House",838296.1,12,309,"Gold Coast",640000.0
445000.0,478920.3,2020,"House",435294.3,12,310,"Ipswich",400900.0
480000.0,531295.1,2020,"House",458097.3,12,311,"Logan - Beaudesert",425000.0
380000.0,409496.6,2020,"House",422398.2,12,312,"MacKay - Isaac - Whitsunday",379000.0
485000.0,543468.2,2020,"House",536119.3,12,313,"Moreton Bay - North",465000.0
530000.0,599761.2,2020,"House",558547.1,12,314,"Moreton Bay - South",500410.0
270000.0,305560.3,2020,"House",290934.0,12,315,"Queensland - Outback",250000.0
680000.0,837385.6,2020,"House",771701.5,12,316,"Sunshine Coast",629000.0
395000.0,445733.9,2020,"House",480883.9,12,317,"Toowoomba",395000.0
339000.0,368437.3,2020,"House",354637.4,12,318,"Townsville",330000.0
332250.0,360011.9,2020,"House",387613.9,12,319,"Wide Bay",330000.0
655555.0,769771.4,2020,"House",740744.5,12,401,"Adelaide - Central And Hills",599000.0
383334.0,399406.0,2020,"House",386782.9,12,402,"Adelaide - North",374267.0
487750.0,554682.8,2020,"House",535860.2,12,403,"Adelaide - South",465000.0
552000.0,612625.2,2020,"House",581930.3,12,404,"Adelaide - West",520000.0
306000.0,332617.1,2020,"House",293449.6,12,405,"Barossa - Yorke - Mid North",269534.5
290000.0,322797.9,2020,"House",285761.1,12,406,"South Australia - Outback",250000.0
330000.0,371681.4,2020,"House",352246.0,12,407,"South Australia - South East",311739.5
502000.0,566907.9,2020,"House",574692.4,12,601,"Hobart",498000.0
362500.0,402218.3,2020,"House",422412.1,12,602,"Launceston And North East",375000.0
400000.0,440980.4,2020,"House",490026.0,12,603,"South East",425000.0
305000.0,334159.4,2020,"House",347980.4,12,604,"West And North West",309000.0
439900.0,504407.0,2020,"House",499620.3,12,201,"Ballarat",440000.0
450000.0,514990.8,2020,"House",505058.3,12,202,"Bendigo",430000.0
625000.0,752247.1,2020,"House",673823.8,12,203,"Geelong",554902.5
399000.0,441325.1,2020,"House",481254.4,12,204,"Hume",425000.0
390000.0,444824.6,2020,"House",459215.5,12,205,"Latrobe - Gippsland",420000.0
1332250.0,1630975.0,2020,"House",1685564.0,12,206,"Melbourne - Inner",1280000.0
1476000.0,1734483.0,2020,"House",1728644.0,12,207,"Melbourne - Inner East",1391250.0
1330000.0,1595677.0,2020,"House",1554087.0,12,208,"Melbourne - Inner South",1250000.0
735000.0,837348.9,2020,"House",679809.3,12,209,"Melbourne - North East",587962.5
651000.0,731251.2,2020,"House",624840.8,12,210,"Melbourne - North West",560000.0
790000.0,865256.5,2020,"House",844226.3,12,211,"Melbourne - Outer East",750000.0
670000.0,779657.1,2020,"House",654634.6,12,212,"Melbourne - South East",577000.0
617000.0,679964.4,2020,"House",580965.5,12,213,"Melbourne - West",539500.0
751000.0,987715.8,2020,"House",968104.9,12,214,"Mornington Peninsula",720000.0
288500.0,315711.0,2020,"House",285433.6,12,215,"North West",259000.0
340000.0,382354.4,2020,"House",385510.1,12,216,"Shepparton",354915.0
375000.0,428196.5,2020,"House",449395.3,12,217,"Warrnambool And South West",379000.0
410000.0,485078.0,2020,"House",475520.9,12,501,"Bunbury",399000.0
390000.0,439272.9,2020,"House",439655.9,12,502,"Mandurah",372790.0
947000.0,1174136.0,2020,"House",1203380.0,12,503,"Perth - Inner",900000.0
445450.0,486716.1,2020,"House",478888.0,12,504,"Perth - North East",430000.0
525000.0,591712.6,2020,"House",552475.6,12,505,"Perth - North West",485000.0
464999.0,528183.4,2020,"House",515665.0,12,506,"Perth - South East",439000.0
485000.0,592151.8,2020,"House",578299.7,12,507,"Perth - South West",459000.0
410000.0,434644.8,2020,"House",412906.4,12,510,"Western Australia - Outback (North)",379000.0
345000.0,370357.4,2020,"House",468420.5,12,511,"Western Australia - Outback (South)",320000.0
377500.0,409334.4,2020,"House",378842.4,12,509,"Western Australia - Wheat Belt",339000.0
