sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_averageprice, dateyear, propertycategorisation, for_sale_both_auction_private_treaty_averageprice, datemonth, sa42016code, sa42016name, for_sale_both_auction_private_treaty_medianprice
279500.0,301722.5,2018,"House",297112.2,12,406,"South Australia - Outback",260000.0
310000.0,343249.2,2018,"House",337728.4,12,407,"South Australia - South East",299000.0
432000.0,492724.0,2018,"House",500374.7,12,601,"Hobart",439000.0
315000.0,336945.6,2018,"House",363710.0,12,602,"Launceston And North East",329000.0
325000.0,365800.1,2018,"House",419226.7,12,603,"South East",348000.0
260000.0,283482.3,2018,"House",308939.1,12,604,"West And North West",278000.0
370000.0,417994.0,2018,"House",424612.4,12,201,"Ballarat",375000.0
380000.0,434541.1,2018,"House",432464.8,12,202,"Bendigo",379000.0
557500.0,639550.0,2018,"House",625420.1,12,203,"Geelong",526150.0
357250.0,389349.8,2018,"House",415356.0,12,204,"Hume",385000.0
348000.0,385431.5,2018,"House",406585.7,12,205,"Latrobe - Gippsland",375000.0
1190000.0,1442117.0,2018,"House",1668629.0,12,206,"Melbourne - Inner",1100000.0
1401000.0,1665570.0,2018,"House",1653157.0,12,207,"Melbourne - Inner East",1365000.0
1280000.0,1505281.0,2018,"House",1432247.0,12,208,"Melbourne - Inner South",1200000.0
705000.0,801385.2,2018,"House",706924.7,12,209,"Melbourne - North East",603195.0
622000.0,700883.5,2018,"House",638140.4,12,210,"Melbourne - North West",579595.0
769500.0,838461.1,2018,"House",822537.7,12,211,"Melbourne - Outer East",735000.0
650000.0,764407.4,2018,"House",672725.3,12,212,"Melbourne - South East",590000.0
597000.0,663541.3,2018,"House",583295.4,12,213,"Melbourne - West",544708.5
690000.0,867201.6,2018,"House",866357.7,12,214,"Mornington Peninsula",670000.0
260000.0,284790.7,2018,"House",267437.5,12,215,"North West",240000.0
302000.0,342514.1,2018,"House",343656.3,12,216,"Shepparton",320000.0
320000.0,362895.8,2018,"House",395698.8,12,217,"Warrnambool And South West",329000.0
387000.0,454970.4,2018,"House",474549.5,12,501,"Bunbury",399000.0
377050.0,429248.8,2018,"House",434380.1,12,502,"Mandurah",375000.0
915000.0,1131093.0,2018,"House",1191406.0,12,503,"Perth - Inner",895000.0
450000.0,485532.7,2018,"House",474861.3,12,504,"Perth - North East",430000.0
535000.0,595656.2,2018,"House",561486.0,12,505,"Perth - North West",490490.0
467000.0,537979.6,2018,"House",550432.3,12,506,"Perth - South East",441550.0
509995.0,608411.8,2018,"House",563805.8,12,507,"Perth - South West",449737.5
310000.0,340364.4,2018,"House",374996.8,12,510,"Western Australia - Outback (North)",329087.5
320000.0,333822.5,2018,"House",346164.6,12,511,"Western Australia - Outback (South)",319000.0
352500.0,383908.5,2018,"House",398093.2,12,509,"Western Australia - Wheat Belt",350000.0
670000.0,746779.1,2018,"House",747058.0,12,801,"Australian Capital Territory",669000.0
490000.0,537710.4,2018,"House",570374.2,12,101,"Capital Region",515000.0
640000.0,725430.0,2018,"House",701626.8,12,102,"Central Coast",629985.0
374750.0,401052.7,2018,"House",409257.5,12,103,"Central West",385000.0
458500.0,499277.8,2018,"House",547498.8,12,104,"Coffs Harbour - Grafton",495000.0
290000.0,311546.1,2018,"House",283382.4,12,105,"Far West And Orana",255000.0
451000.0,500339.4,2018,"House",501219.9,12,106,"Hunter Valley Exc Newcastle",465000.0
720000.0,796543.5,2018,"House",764470.9,12,107,"Illawarra",690000.0
469000.0,499804.7,2018,"House",528649.1,12,108,"Mid North Coast",489000.0
